partner_name,partner_type,venture,tier,stage,status,estimated_deal_size,target_close_date,contact_name,contact_email,notes,last_activity
Valley Irrigation,Irrigation OEM,Irrig8,Tier 1,2 - Active Outreach,Drafting outreach sequence,,,,Valley is P1 OEM target. Existing dealer network in San Luis Valley.,2026-04-01
Reinke,Irrigation OEM,Irrig8,Tier 1,2 - Active Outreach,Drafting outreach sequence,,,,Second-largest US center-pivot OEM. Has CropX partnership — validates sensor integration model.,2026-04-01
Wilbur-Ellis,Ag retailer,Irrig8,Tier 1,2 - Active Outreach,Drafting outreach sequence,,,,Major S. Luis Valley presence. P1 reseller target.,2026-04-01
Nutrien,Ag retailer,Irrig8,Tier 2,1 - Identified,Identified,,,,Largest global ag retailer. Precision ag focus.,2026-03-31
CHS,Agricultural co-op,Irrig8,Tier 2,1 - Identified,Identified,,,,Farmer-owned co-op. Agronomy services. Colorado presence.,2026-03-31
Planet Labs,Satellite data,Irrig8,Tier 2,1 - Identified,Identified,,,,Satellite imagery provider. Potential data partnership.,2026-03-31
USDA NRCS,Government,Irrig8,Tier 2,1 - Identified,Identified,,,,Conservation programs, EQIP funding. Data partner / co-marketing.,2026-03-31
Colorado State University,Research,Irrig8,Tier 2,1 - Identified,Identified,,,,Cooperative Extension. Pilot programs / case studies.,2026-03-31
Sweepium,B2B sweepstakes aggregator,VPC,P1,1 - Identified,Research phase,contact@sweepium.com,,,Sweepstakes white-label platform. Malta/Spain/Azerbaijan. 8-10 week launch. P1 target.,2026-04-01
SweepNow,B2B sweepstakes platform,VPC,P1,1 - Identified,Research phase,contact@sweepnow.io,,,US-compliant sweepstakes platform. Rapid deployment (4-8 weeks). P1 target.,2026-04-01
GammaSweep,US-based sweepstakes IT,VPC,P1,1 - Identified,Research phase,sales@gammasweep.com,,,US-based sweepstakes IT provider. 50+ providers, 3K+ games. P1 — US focus aligns with VPC.,2026-04-01
SoftGamings,Casino aggregator,VPC,P2,1 - Identified,Research phase,info@softgamings.com,,,Gaming platform company. Riga HQ. 100+ casino brands. Sweepstakes capability noted.,2026-04-01
Slotegrator,Casino aggregator,VPC,P2,1 - Identified,Research phase,,,,Prague HQ. Turnkey + white-label. 27 countries. Sweepstakes API integration.,2026-04-01
,,,,,,,,,,
,,,,,,,,,,
